mi,Erm/Sci,Scm/Po,Distance,X*,R*,u0*,u*,Ur,strain
10,22.95,0.3,7,1.4,2.39,0.232907875,0.681396999,0.23848895,4.769778993
10,22.95,0.3,8,1.6,2.39,0.232907875,0.718980853,0.251643299,5.032865974
10,22.95,0.3,9,1.8,2.39,0.232907875,0.752131146,0.263245901,5.264918022
10,22.95,0.3,10,2,2.39,0.232907875,0.78137088,0.273479808,5.469596159
10,22.95,0.3,11,2.2,2.39,0.232907875,0.807161362,0.282506477,5.650129534
10,22.95,0.3,12,2.4,2.39,0.232907875,0.829909482,0.290468319,5.809366374
10,22.95,0.3,13,2.6,2.39,0.232907875,0.849974131,0.297490946,5.949818915
10,22.95,0.3,14,2.8,2.39,0.232907875,0.867671862,0.303685152,6.073703037
10,22.95,0.3,15,3,2.39,0.232907875,0.883281889,0.309148661,6.182973226
10,22.95,0.3,16,3.2,2.39,0.232907875,0.897050487,0.31396767,6.279353408
10,22.95,0.3,17,3.4,2.39,0.232907875,0.909194878,0.318218207,6.364364148
10,22.95,0.3,18,3.6,2.39,0.232907875,0.919906662,0.321967332,6.439346635
10,22.95,0.3,19,3.8,2.39,0.232907875,0.929354835,0.325274192,6.505483847
10,22.95,0.3,20,4,2.39,0.232907875,0.937688459,0.328190961,6.563819215
10,22.95,0.3,21,4.2,2.39,0.232907875,0.945039011,0.330763654,6.615273078
10,22.95,0.3,22,4.4,2.39,0.232907875,0.951522459,0.33303286,6.66065721
10,22.95,0.3,23,4.6,2.39,0.232907875,0.957241089,0.335034381,6.700687624
10,22.95,0.3,24,4.8,2.39,0.232907875,0.962285124,0.336799793,6.735995869
10,22.95,0.3,25,5,2.39,0.232907875,0.966734142,0.33835695,6.767138993
10,22.95,0.3,26,5.2,2.39,0.232907875,0.970658333,0.339730417,6.794608333
10,22.95,0.3,27,5.4,2.39,0.232907875,0.974119609,0.340941863,6.818837265
10,22.95,0.3,28,5.6,2.39,0.232907875,0.977172578,0.342010402,6.840208043
10,22.95,0.3,29,5.8,2.39,0.232907875,0.979865404,0.342952891,6.859057826
10,22.95,0.3,30,6,2.39,0.232907875,0.982240572,0.3437842,6.875684004
10,22.95,0.3,31,6.2,2.39,0.232907875,0.984335555,0.344517444,6.890348883
10,22.95,0.3,32,6.4,2.39,0.232907875,0.986183404,0.345164191,6.903283826
10,22.95,0.3,33,6.6,2.39,0.232907875,0.987813272,0.345734645,6.914692904
10,22.95,0.3,34,6.8,2.39,0.232907875,0.989250874,0.346237806,6.924756116
10,22.95,0.3,35,7,2.39,0.232907875,0.990518889,0.346681611,6.933632226
10,22.95,0.3,36,7.2,2.39,0.232907875,0.991637324,0.347073063,6.941461269
10,22.95,0.3,37,7.4,2.39,0.232907875,0.992623823,0.347418338,6.948366763
10,22.95,0.3,38,7.6,2.39,0.232907875,0.993493951,0.347722883,6.954457654
10,22.95,0.3,39,7.8,2.39,0.232907875,0.994261434,0.347991502,6.959830036
10,22.95,0.3,40,8,2.39,0.232907875,0.994938381,0.348228433,6.964568667
10,22.95,0.3,41,8.2,2.39,0.232907875,0.995535472,0.348437415,6.968748307
10,22.95,0.3,42,8.4,2.39,0.232907875,0.996062128,0.348621745,6.972434899
10,22.95,0.3,43,8.6,2.39,0.232907875,0.996526658,0.34878433,6.975686603
10,22.95,0.3,44,8.8,2.39,0.232907875,0.996936389,0.348927736,6.978554722
10,22.95,0.3,45,9,2.39,0.232907875,0.997297786,0.349054225,6.981084504
10,22.95,0.3,46,9.2,2.39,0.232907875,0.997616552,0.349165793,6.983315862
10,22.95,0.3,47,9.4,2.39,0.232907875,0.997897714,0.3492642,6.985283998
10,22.95,0.3,48,9.6,2.39,0.232907875,0.998145709,0.349350998,6.987019964
10,22.95,0.3,49,9.8,2.39,0.232907875,0.99836445,0.349427557,6.988551148
10,22.95,0.3,50,10,2.39,0.232907875,0.998557387,0.349495085,6.989901707
10,22.95,0.3,51,10.2,2.39,0.232907875,0.998727564,0.349554647,6.991092947
10,22.95,0.3,52,10.4,2.39,0.232907875,0.998877666,0.349607183,6.992143664
10,22.95,0.3,53,10.6,2.39,0.232907875,0.999010062,0.349653522,6.993070433
10,22.95,0.3,54,10.8,2.39,0.232907875,0.999126839,0.349694394,6.993887876
10,22.95,0.3,55,11,2.39,0.232907875,0.999229841,0.349730444,6.99460889
10,22.95,0.3,56,11.2,2.39,0.232907875,0.999320693,0.349762242,6.995244849
10,22.95,0.3,57,11.4,2.39,0.232907875,0.999400827,0.349790289,6.995805789
10,22.95,0.3,58,11.6,2.39,0.232907875,0.999471508,0.349815028,6.996300557
10,22.95,0.3,59,11.8,2.39,0.232907875,0.999533851,0.349836848,6.99673696
10,22.95,0.3,60,12,2.39,0.232907875,0.99958884,0.349856094,6.997121883
10,22.95,0.3,61,12.2,2.39,0.232907875,0.999637343,0.34987307,6.997461399
10,22.95,0.3,62,12.4,2.39,0.232907875,0.999680123,0.349888043,6.997760864
10,22.95,0.3,63,12.6,2.39,0.232907875,0.999717857,0.34990125,6.998025002
10,22.95,0.3,64,12.8,2.39,0.232907875,0.99975114,0.349912899,6.998257982
